ID,authors,title,journal,year_pub,pages,journal_issue,type,number_authors,collaborative,full_reference,lead_author_institution,institution_country,institution_type,country_topic,theory_topic,subject_topic,method_topic
220,"Sanjuán, L González, P Gómez, F","The Use of Prehistoric Ritual and Funerary Sites in Roman Spain: Discussing Tradition, Memory and Identity in Roman Society",Theoretical Roman Archaeology Conference Proceedings,2008,pp.1-14,17,proc,3,TRUE,"Sanjuán, L.G., González, P.G. and Gómez, F.L., 2008. The Use of Prehistoric Ritual and Funerary Sites in Roman Spain: Discussing Tradition, Memory and Identity in Roman Society . Theoretical Roman Archaeology Journal, (2007), pp.1–13. DOI: http://doi.org/10.16995/TRAC2007_1_13",University of Sevilla,Spain,University,Spain,ritual landscape memory,prehistory burial,
221,"Jiménez, A",A Critical Approach to the Concept of Resistance: New ‘Traditional’ Rituals and Objects in Funerary Contexts of Roman Baetica,Theoretical Roman Archaeology Conference Proceedings,2008,pp.15-30,17,proc,1,FALSE,"Jiménez, A., 2008. A Critical Approach to the Concept of Resistance: New ‘Traditional’ Rituals and Objects in Funerary Contexts of Roman Baetica. Theoretical Roman Archaeology Journal, (2007), pp.15–30. DOI: http://doi.org/10.16995/TRAC2007_15_30",Consejo Superior de Investigaciones Científicas (CSIC),Spain,Research Centre,Spain,ritual resistance post-colonial,burial,
222,"Sterry, M",Searching for identity in Italian Landscapes,Theoretical Roman Archaeology Conference Proceedings,2008,pp.31-44,17,proc,1,FALSE,"Sterry, M., 2008. Searching for identity in Italian Landscapes. Theoretical Roman Archaeology Journal, (2007), pp.31–43. DOI: http://doi.org/10.16995/TRAC2007_31_43",University of Leicester,England,University,Italy,landscape identity,,survey
223,"Collins, R",Identity in the Frontier: Theory and Multiple Community Interfacing,Theoretical Roman Archaeology Conference Proceedings,2008,pp.45-52,17,proc,1,FALSE,"Collins, R., 2008. Identity in the Frontier: Theory and Multiple Community Interfacing . Theoretical Roman Archaeology Journal, (2007), pp.45–52. DOI: http://doi.org/10.16995/TRAC2007_45_52",Newcastle University,England,University,Britain,identity frontier community,,epigraphy
224,"Monteiro, L",Ethnicity and Conflict in the Roman Conquest of Spain,Theoretical Roman Archaeology Conference Proceedings,2008,pp.53-62,17,proc,1,FALSE,"Monteiro, L.D., 2008. Ethnicity and Conflict in the Roman Conquest of Spain . Theoretical Roman Archaeology Journal, (2007), pp.53–61. DOI: http://doi.org/10.16995/TRAC2007_53_61",Brown University,USA,University,Spain Portugal,ethnicity violence,,text
225,"Faulkner, N",Roman Archaeology in an Epoch of Neoliberalism and Imperialist War,Theoretical Roman Archaeology Conference Proceedings,2008,pp.63-74,17,proc,1,FALSE,"Faulkner, N., 2008. Roman Archaeology in an Epoch of Neoliberalism and Imperialist War. Theoretical Roman Archaeology Journal, (2007), pp.63–73. DOI: http://doi.org/10.16995/TRAC2007_63_73",Unknown,Unknown,Unknown,,imperialism postmodernism marxism,,text
226,"Fenwick, C","Archaeology and the Search for Authenticity: Colonialist, Nationalist, and Berberist Visions of an Algerian Past",Theoretical Roman Archaeology Conference Proceedings,2008,pp.75-88,17,proc,1,FALSE,"Fenwick, C., 2008. Archaeology and the Search for Authenticity: Colonialist, Nationalist, and Berberist Visions of an Algerian Past. Theoretical Roman Archaeology Journal, (2007), pp.75–88. DOI: http://doi.org/10.16995/TRAC2007_75_88",Stanford University,USA,University,Algeria,nationalism colonialism identity,,ethnography
227,"Aktüre, Z",Typological Studies of Ancient Roman Theatre Architecture in the Context of the Old and New Europe: The Tree vs. the Rhizome Model,Theoretical Roman Archaeology Conference Proceedings,2008,pp.89-108,17,proc,1,FALSE,"Aktüre, Z., 2008. Typological Studies of Ancient Roman Theatre Architecture in the Context of the Old and New Europe: The Tree vs. the Rhizome Model. Theoretical Roman Archaeology Journal, (2007), pp.89–107. DOI: http://doi.org/10.16995/TRAC2007_89_107",Izmir Institute of Technology,Turkey,University,Greece,identity,architecture,historiography
228,"Trifiló, F","Power, Architecture and Community in the Distribution of Honorary Statues in Roman Public Space",Theoretical Roman Archaeology Conference Proceedings,2008,pp.109-120,17,proc,1,FALSE,"Trifiló, F., 2008. Power, Architecture and Community in the Distribution of Honorary Statues in Roman Public Space. Theoretical Roman Archaeology Journal, (2007), pp.109–120. DOI: http://doi.org/10.16995/TRAC2007_109_120","Birkbeck College, University of London",England,University,,structuration space,forum sculpture,
229,"Brown, L",Charon’s Obols? A case study in the role of coins in Roman Burial Ritual,Theoretical Roman Archaeology Conference Proceedings,2008,pp.121-130,17,proc,1,FALSE,"Brown, L., 2008. Charon’s Obols? A case study in the role of coins in Roman Burial Ritual. Theoretical Roman Archaeology Journal, (2007), pp.121–130. DOI: http://doi.org/10.16995/TRAC2007_121_130",University of Edinburgh,Scotland,University,Britain,ritual practice structured-deposition,coins burial,
230,"Clay, C",Developing the ‘Germani’ in Roman Studies,Theoretical Roman Archaeology Conference Proceedings,2008,pp.131-150,17,proc,1,FALSE,"Clay, C.L., 2008. Developing the ‘Germani’ in Roman Studies. Theoretical Roman Archaeology Journal, (2007), pp.131–150. DOI: http://doi.org/10.16995/TRAC2007_131_150",University of Sheffield,England,University,Belgium Germany,identity,,epigraphy text
231,"Croxford, B",Humour In Roman Archaeology,Theoretical Roman Archaeology Conference Proceedings,2008,pp.151-162,17,proc,1,FALSE,"Croxford, B., 2008. Humour In Roman Archaeology. Theoretical Roman Archaeology Journal, (2007), pp.151–162. DOI: http://doi.org/10.16995/TRAC2007_151_162",University of Cambridge,England,University,,humour,artefacts burial,
232,"Driessen, M Heeren, S Hendriks, J Kemmers, F Visser, R",Preface,Theoretical Roman Archaeology Conference Proceedings,2009,pp.i-vi,18,proc,5,TRUE,"Driessen, M., Heeren, S., Hendriks, J., Kemmers, F. and Visser, R., 2009. Preface and Editors’ Preface. Theoretical Roman Archaeology Journal, (2008), p.i–vi. DOI: http://doi.org/10.16995/TRAC2008_i_vi",University of Amsterdam,Netherlands,University,,,preface,
233,"Friedman, H","Forced Labour, Mines, and Space: Exploring the Control of Mining Communities",Theoretical Roman Archaeology Conference Proceedings,2009,pp.1-12,18,proc,1,FALSE,"Friedman, H., 2009. Forced Labour, Mines, and Space: Exploring the Control of Mining Communities. Theoretical Roman Archaeology Journal, (2008), pp.1–11. DOI: http://doi.org/10.16995/TRAC2007_1_11",University of Leicester,England,University,Jordan,space labour landscape,mining slavery,gis text
234,"Courbot-Dewerdt, C",Feeling Like Home: Romanised Rural Landscape from a Gallo-Roman Point of View,Theoretical Roman Archaeology Conference Proceedings,2009,pp.13-24,18,proc,1,FALSE,"Courbot-Dewerdt, C., 2009. Feeling Like Home: Romanised Rural Landscape from a Gallo-Roman Point of View . Theoretical Roman Archaeology Journal, (2008), pp.13–24. DOI: http://doi.org/10.16995/TRAC2008_13_24",Université de Lille,France,University,France,space rural place,prehistory villa architecture,
235,"Newsome, D",Centrality in its Place: Defining Urban Space in the City of Rome,Theoretical Roman Archaeology Conference Proceedings,2009,pp.25-28,18,proc,1,FALSE,"Newsome, D.J., 2009. Centrality in its Place: Defining Urban Space in the City of Rome. Theoretical Roman Archaeology Journal, (2008), pp.25–38. DOI: http://doi.org/10.16995/TRAC2008_25_38",University of Birmingham,England,University,Italy,urbanism space centrality movement,Rome,urban-planning
236,"Malmberg, S",Finding Your Way in the Subura,Theoretical Roman Archaeology Conference Proceedings,2009,pp.39-52,18,proc,1,FALSE,"Malmberg, S., 2009. Finding Your Way in the Subura. Theoretical Roman Archaeology Journal, (2008), pp.39–51. DOI: http://doi.org/10.16995/TRAC2008_39_51","Swedish Institute of Classical Studies, Rome",Italy,Research Centre,Italy,urbanism space movement,Subura,text
237,"Brindle, T",Amateur Metal Detector Finds and Romano-British Settlement: A Methodological Case Study from Wiltshire,Theoretical Roman Archaeology Conference Proceedings,2009,pp.53-72,18,proc,1,FALSE,"Brindle, T., 2009. Amateur Metal Detector Finds and Romano-British Settlement: A Methodological Case Study from Wiltshire. Theoretical Roman Archaeology Journal, (2008), pp.53–72. DOI: http://doi.org/10.16995/TRAC2008_53_72","King's College, London",England,University,Britain,,PAS artefacts,gis
238,"Cummings, C",Meat Consumption in Roman Britain: The Evidence from Stable Isotopes,Theoretical Roman Archaeology Conference Proceedings,2009,pp.73-84,18,proc,1,FALSE,"Cummings, C., 2009. Meat Consumption in Roman Britain: The Evidence from Stable Isotopes. Theoretical Roman Archaeology Journal, (2008), pp.73–83. DOI: http://doi.org/10.16995/TRAC2008_73_83",University of Oxford,England,University,Britain,practice,diet,zooarchaeology isotopes
239,"Vossen, I Groot, M",Barley and Horses: Surplus and Demand in the Civitas Batavorum,Theoretical Roman Archaeology Conference Proceedings,2009,pp.85-100,18,proc,2,TRUE,"Vossen, I. and Groot, M., 2009. Barley and Horses: Surplus and Demand in the Civitas Batavorum. Theoretical Roman Archaeology Journal, (2008), pp.85–100. DOI: http://doi.org/10.16995/TRAC2008_85_100",University of Amsterdam,Netherlands,University,France,economy rural landscape,diet,zooarchaeology archaeobotanical
240,"Stallibrass, S",The Way to a Roman Soldier’s Heart: A Post-Medieval Model for Cattle Droving to the Hadrian’s Wall Area,Theoretical Roman Archaeology Conference Proceedings,2009,pp.101-112,18,proc,1,FALSE,"Stallibrass, S., 2009. The Way to a Roman Soldier’s Heart: A Post-Medieval Model for Cattle Droving to the Hadrian’s Wall Area . Theoretical Roman Archaeology Journal, (2008), pp.101–112. DOI: http://doi.org/10.16995/TRAC2008_101_112",University of Liverpool,England,University,Britain,frontier production,diet military,zooarchaeology
241,"Crowley, L",Creating a Community: The Symbolic Role of Tumuli in the Villa Landscape of the Civitas Tungrorum,Theoretical Roman Archaeology Conference Proceedings,2009,pp.113-126,18,proc,1,FALSE,"Crowley, L., 2009. Creating a Community: The Symbolic Role of Tumuli in the Villa Landscape of the Civitas Tungrorum. Theoretical Roman Archaeology Journal, (2008), pp.113–126. DOI: http://doi.org/10.16995/TRAC2008_113_126",University of Amsterdam,Netherlands,University,Belgium,identity landscape,monument burial villa,
242,"Richardson, A",“Montani Atque Agrestes” or Women of Substance? Dichotomies of Gender and Role in Ancient Samnium,Theoretical Roman Archaeology Conference Proceedings,2009,pp.127-142,18,proc,1,FALSE,"Richardson, A., 2009. “Montani Atque Agrestes” or Women of Substance? Dichotomies of Gender and Role in Ancient Samnium . Theoretical Roman Archaeology Journal, (2008), pp.127–141. DOI: http://doi.org/10.16995/TRAC2008_127_141",University of Reading,England,University,Italy,gender society,artefacts burial,text
243,"Stoffels, E",Native Service: ‘Batavian’ Pottery in ‘Roman’ Military Context,Theoretical Roman Archaeology Conference Proceedings,2009,pp.143-156,18,proc,1,FALSE,"Stoffels, E., 2009. Native Service: ‘Batavian’ Pottery in ‘Roman’ Military Context . Theoretical Roman Archaeology Journal, (2008), pp.143–155. DOI: http://doi.org/10.16995/TRAC2008_143_155",University of Amsterdam,Netherlands,University,Netherlands,society,pottery military,
244,"Wanner, R",The Natural Will: Community in Roman Archaeology,Theoretical Roman Archaeology Conference Proceedings,2009,pp.157-172,18,proc,1,FALSE,"Wanner, R., 2009. The Natural Will: Community in Roman Archaeology . Theoretical Roman Archaeology Journal, (2008), pp.157–172. DOI: http://doi.org/10.16995/TRAC2008_157_172",University of Leicester,England,University,Tunisia,community society,,survey
245,"Flohr, M",The Social World of Roman Fullonicae,Theoretical Roman Archaeology Conference Proceedings,2009,pp.173-186,18,proc,1,FALSE,"Flohr, M., 2009. The Social World of Roman Fullonicae. Theoretical Roman Archaeology Journal, (2008), pp.173–185. DOI: http://doi.org/10.16995/TRAC2008_173_185",Leiden University,Netherlands,University,Italy,labour urbanism society,architecture,
246,"Martin Goldberg, D",The Dichotomy in Romano-Celtic Syncretism: Some Preliminary Thoughts on Vernacular Religion,Theoretical Roman Archaeology Conference Proceedings,2009,pp.187-202,18,proc,1,FALSE,"Goldberg, D.M., 2009. The Dichotomy in Romano-Celtic Syncretism: Some Preliminary Thoughts on Vernacular Religion . Theoretical Roman Archaeology Journal, (2008), pp.187–202. DOI: http://doi.org/10.16995/TRAC2008_187_202",National Museums Scotland,Scotland,National museum,,religion ritual syncretism,,
247,"Moore, A Taylor, G Harris, E Girdwood, P Shipley, L",Preface,Theoretical Roman Archaeology Conference Proceedings,2010,pp.i-viii,19,proc,5,TRUE,"Moore, A., Taylor, G., Harris, E., Girdwood, P. and Shipley, L., 2010. Preface and Editors’ Preface. Theoretical Roman Archaeology Journal, (2009), p.i–viii. DOI: http://doi.org/10.16995/TRAC2009_i_viii",University of Southampton,England,University,,,preface,
248,"Revell, L",Romanization: A Feminist Critique,Theoretical Roman Archaeology Conference Proceedings,2010,pp.1-10,19,proc,1,FALSE,"Revell, L., 2010. Romanization: A Feminist Critique. Theoretical Roman Archaeology Journal, (2009), pp.1–10. DOI: http://doi.org/10.16995/TRAC2009_1_10",University of Southampton,England,University,,Romanization gender feminism identity,,
249,"Visser, R",Growing and Felling? Theory and Evidence Related to the Application of Silvicultural Systems in the Roman Period,Theoretical Roman Archaeology Conference Proceedings,2010,pp.11-22,19,proc,1,FALSE,"Visser, R.M., 2010. Growing and Felling? Theory and Evidence Related to the Application of Silvicultural Systems in the Roman Period. Theoretical Roman Archaeology Journal, (2009), pp.11–22. DOI: http://doi.org/10.16995/TRAC2009_11_22",University of Amsterdam,Netherlands,University,Germany,production,forestry,
250,"Sekedat, B",No Place Like Stone? Assessing Social and Material Networks of Place at Quarries in Roman Anatolia,Theoretical Roman Archaeology Conference Proceedings,2010,pp.23-30,19,proc,1,FALSE,"Sekedat, B.M., 2010. No Place Like Stone? Assessing Social and Material Networks of Place at Quarries in Roman Anatolia. Theoretical Roman Archaeology Journal, (2009), pp.23–30. DOI: http://doi.org/10.16995/TRAC2009_23_30",Brown University,USA,University,Turkey,place society,quarrying stone,
251,"Beale, G Earl, G","The Herculaneum Amazon: Sculptural Polyschromy, Digital Simulation and Context",Theoretical Roman Archaeology Conference Proceedings,2010,pp.31-40,19,proc,2,TRUE,"Beale, G. and Earle, G., 2010. The Herculaneum Amazon: Sculptural Polyschromy, Digital Simulation and Context. Theoretical Roman Archaeology Journal, (2009), pp.31–40. DOI: http://doi.org/10.16995/TRAC2009_31_40",University of Southampton,England,University,Italy,experience,sculpture,digital
252,"Lepot, A",GIS and Artefact Deposition: A Case Study on Regional Cooking Wares in Northern Gaul,Theoretical Roman Archaeology Conference Proceedings,2010,pp.41-52,19,proc,1,FALSE,"Lepot, A., 2010. GIS and Artefact Deposition: A Case Study on Regional Cooking Wares in Northern Gaul . Theoretical Roman Archaeology Journal, (2009), pp.41–52. DOI: http://doi.org/10.16995/TRAC2009_41_52",Université Catholique de Louvain,France,University,France,consumption,pottery,gis
253,"van der Graaff, I Poppen, R Nales, T",The Advantages and Limitations of Coring Survey: An Initial Assessment of the Poggio Colla Coring Project,Theoretical Roman Archaeology Conference Proceedings,2010,pp.53-65,19,proc,3,TRUE,"Graaff, I. van . der ., Poppen, R.V. and Nales, T., 2010. The Advantages and Limitations of Coring Survey: An Initial Assessment of the Poggio Colla Coring Project . Theoretical Roman Archaeology Journal, (2009), pp.53–65. DOI: http://doi.org/10.16995/TRAC2009_53_65",University of Texas at Austin,USA,University,Italy,landscape,settlement,survey geoarchaeology GIS
254,"Feldman Weiss, C",Performativity of Place: Movement and Water in Second Century AD Ephesus,Theoretical Roman Archaeology Conference Proceedings,2010,pp.66-74,19,proc,1,FALSE,"Weiss, C.F., 2010. Performativity of Place: Movement and Water in Second Century AD Ephesus. Theoretical Roman Archaeology Journal, (2009), pp.66–74. DOI: http://doi.org/10.16995/TRAC2009_66_74",Brown University,USA,University,Turkey,space place landscape performance urbanism movement,water,urban-planning
255,"Wood, S",Horti in the City of Rome: Emulation and Transcendence in the Late Republic and Early Empire,Theoretical Roman Archaeology Conference Proceedings,2010,pp.75-90,19,proc,1,FALSE,"Wood, S., 2010. Horti in the City of Rome: Emulation and Transcendence in the Late Republic and Early Empire. Theoretical Roman Archaeology Journal, (2009), pp.75–90. DOI: http://doi.org/10.16995/TRAC2009_75_90",University of Birmingham,England,University,Italy,urbanism,gardens,
256,"Bonnie, R",Did Cadastres Exist in the Roman Northwest?,Theoretical Roman Archaeology Conference Proceedings,2010,pp.91-104,19,proc,1,FALSE,"Bonnie, R., 2010. Did Cadastres Exist in the Roman Northwest?. Theoretical Roman Archaeology Journal, (2009), pp.91–104. DOI: http://doi.org/10.16995/TRAC2009_91_104",Katholieke Universiteit Leuven,Belgium,University,,rural,centuriation agriculture,
257,"Moore, A",Age and Identity in Funerary Contexts: The Elderly in Southern Roman Britain,Theoretical Roman Archaeology Conference Proceedings,2010,pp.105-119,19,proc,1,FALSE,"Moore, A., 2010. Age and Identity in Funerary Contexts: The Elderly in Southern Roman Britain. Theoretical Roman Archaeology Journal, (2009), pp.105–119. DOI: http://doi.org/10.16995/TRAC2009_105_119",University of Southampton,England,University,Britain,identity gender,burial age,
258,"Scopacasa, R","Beyond the Warlike Samnites: Rethinking Grave Goods, Gender Relations and Social Practice in Ancient Samnium (Italy)",Theoretical Roman Archaeology Conference Proceedings,2010,pp.120-131,19,proc,1,FALSE,"Scopacasa, R., 2010. Beyond the Warlike Samnites: Rethinking Grave Goods, Gender Relations and Social Practice in Ancient Samnium (Italy). Theoretical Roman Archaeology Journal, (2009), pp.120–131. DOI: http://doi.org/10.16995/TRAC2009_120_131",University of Exeter,England,University,Italy,gender community practice,burial artefacts,
259,"Fitzpatrick-Mathews, K","Collapse, Change or Continuity? Exploring the Three C’s in Sub-Roman Britain",Theoretical Roman Archaeology Conference Proceedings,2010,pp.132-148,19,proc,1,FALSE,"Fitzpatrick-Matthews, K.J., 2010. Collapse, Change or Continuity? Exploring the Three C’s in Sub-Roman Britain . Theoretical Roman Archaeology Journal, (2009), pp.132–148. DOI: http://doi.org/10.16995/TRAC2009_132_148",North Hertfordshire District Council’s Museums Service,England,Local museum,Britain,decline urbanism,post-Roman burial,
260,"Mladenovi?, D Russell, B",Preface,Theoretical Roman Archaeology Conference Proceedings,2011,pp.i-vi,20,proc,2,TRUE,"Mladenovi?, D. and Russell, B., 2011. Preface and Editors’ Preface. Theoretical Roman Archaeology Journal, (2010), p.i–vi. DOI: http://doi.org/10.16995/TRAC2010_i_vi",University of Oxford,England,University,,,preface,
261,"Mills, P Rajala, U",Interpreting a Ceramiscene Landscape – The Roman Pottery from the Nepi Survey Project,Theoretical Roman Archaeology Conference Proceedings,2011,pp.1-17,20,proc,2,TRUE,"Mills, P. and Rajala, U., 2011. Interpreting a Ceramiscene Landscape – The Roman Pottery from the Nepi Survey Project. Theoretical Roman Archaeology Journal, (2010), pp.1–17. DOI: http://doi.org/10.16995/TRAC2010_1_17",University of Leicester,England,University,Italy,landscape,pottery,survey
262,"Boos, M",In Excelsissimo Loco – An Approach to Poliadic Deities in Roman Colonies,Theoretical Roman Archaeology Conference Proceedings,2011,pp.18-31,20,proc,1,FALSE,"Boos, M., 2011. In Excelsissimo Loco – An Approach to Poliadic Deities in Roman Colonies. Theoretical Roman Archaeology Journal, (2010), pp.18–31. DOI: http://doi.org/10.16995/TRAC2010_18_31",Technische Universität Darmstadt,Germany,University,Italy,urbanism religion ritual,architecture,
263,"Ratliff, M","Globalisation, Consumerism and the Ancient Roman Economy: A Preliminary Look at Bronze and Iron Production and Consumption",Theoretical Roman Archaeology Conference Proceedings,2011,pp.32-46,20,proc,1,FALSE,"Ratliff, M.L., 2011. Globalisation, Consumerism and the Ancient Roman Economy: A Preliminary Look at Bronze and Iron Production and Consumption. Theoretical Roman Archaeology Journal, (2010), pp.32–46. DOI: http://doi.org/10.16995/TRAC2010_32_46",University of Groningen,Netherlands,University,Italy,economy globalisation,metalwork,
264,"Ynnilä, H",Meaningful Insula: Bridging the Gap between Large and Small Scale Studies of Urban Living Conditions,Theoretical Roman Archaeology Conference Proceedings,2011,pp.47-58,20,proc,1,FALSE,"Ynnilä, H. 2011. Meaningful Insula: Bridging the Gap between Large and Small Scale Studies of Urban Living Conditions. Theoretical Roman Archaeology Journal, (2010), pp.47–58. DOI: http://doi.org/10.16995/TRAC2010_47_58",University of Oxford,England,University,Italy,urbanism,architecture houses,
265,"Lauritson, M",Doors in Domestic Space at Pompeii and Herculaneum: A Preliminary Study,Theoretical Roman Archaeology Conference Proceedings,2011,pp.59-75,20,proc,1,FALSE,"Lauritsen, M.T., 2011. Doors in Domestic Space at Pompeii and Herculaneum: A Preliminary Study . Theoretical Roman Archaeology Journal, (2010), pp.59–75. DOI: http://doi.org/10.16995/TRAC2010_59_75",University of Edinburgh,Scotland,University,Italy,urbanism space,architecture,agent-based-modelling
266,"Munro, B",Approaching Architectural Recycling in Roman and Late Roman Villas,Theoretical Roman Archaeology Conference Proceedings,2011,pp.76-88,20,proc,1,FALSE,"Munro, B., 2011. Approaching Architectural Recycling in Roman and Late Roman Villas. Theoretical Roman Archaeology Journal, (2010), pp.76–88. DOI: http://doi.org/10.16995/TRAC2010_76_88",University of Manitoba,Canada,University,Italy France,recycling,villa architecture,
267,"Barker, S",Nineteenth-Century Labour Figures for Demolition: A Theoretical Approach to Understanding the Economics of Re-use,Theoretical Roman Archaeology Conference Proceedings,2011,pp.89-101,20,proc,1,FALSE,"Barker, S.J., 2011. Nineteenth-Century Labour Figures for Demolition: A Theoretical Approach to Understanding the Economics of Re-use. Theoretical Roman Archaeology Journal, (2010), pp.89–101. DOI: http://doi.org/10.16995/TRAC2010_89_101",University of Oxford,England,University,,recycling economy labour,architecture,
268,"Grömer, K Hölbling-Steigberger, E",Cloth and Clothing from Cemeteries in Noricum,Theoretical Roman Archaeology Conference Proceedings,2011,pp.102-114,20,proc,2,TRUE,"Grömer, K. and Hölbling-Steigberger, E., 2011. Cloth and Clothing from Cemeteries in Noricum. Theoretical Roman Archaeology Journal, (2010), pp.102–114. DOI: http://doi.org/10.16995/TRAC2010_102_114",Natural History Museum Vienna,Austria,National museum,Austria,identity,burial textiles brooches,
269,"Pudney, C",Pinning Down Identities: The Negotiation of Personhood and the Materialisation of Identity in the Late Iron Age and Early Roman Severn Estuary,Theoretical Roman Archaeology Conference Proceedings,2011,pp.115-131,20,proc,1,FALSE,"Pudney, C., 2011. Pinning Down Identities: The Negotiation of Personhood and the Materialisation of Identity in the Late Iron Age and Early Roman Severn Estuary. Theoretical Roman Archaeology Journal, (2010), pp.115–131. DOI: http://doi.org/10.16995/TRAC2010_115_131",Cardiff University,Wales,University,Britain,identity ritual personhood,burial brooches,
270,"Ivleva, T",British Emigrants in the Roman Empire: Complexities and Symbols of Ethnic Identities,Theoretical Roman Archaeology Conference Proceedings,2011,pp.132-153,20,proc,1,FALSE,"Ivleva, T., 2011. British Emigrants in the Roman Empire: Complexities and Symbols of Ethnic Identities. Theoretical Roman Archaeology Journal, (2010), pp.132–153. DOI: http://doi.org/10.16995/TRAC2010_132_153",Leiden University,Amsterdam,University,,identity ethnicity migration,brooches,epigraphy
271,"Duggan, M McIntosh, F Rohl, D",Preface,Theoretical Roman Archaeology Conference Proceedings,2012,pp.i-vii,21,proc,3,TRUE,"Duggan, M., McIntosh, F. and Rohl, D.J., 2012. Preface and Editors’ Preface. Theoretical Roman Archaeology Journal, (2011), p.i–vii. DOI: http://doi.org/10.16995/TRAC2011_i_vii",Newcastle University,England,University,,,preface,
272,"Scott, E",Introduction: The Theoretical Roman Archaeology Conference Turns 21,Theoretical Roman Archaeology Conference Proceedings,2012,pp.1-3,21,proc,1,FALSE,"Scott, E., 2012. Introduction: The Theoretical Roman Archaeology Conference Turns 21. Theoretical Roman Archaeology Journal, (2011), pp.1–3. DOI: http://doi.org/10.16995/TRAC2011_1_3",Unknown,Unknown,Unknown,,,,retrospective
273,"Allason-Jones, L",She Said ‘Emic’,Theoretical Roman Archaeology Conference Proceedings,2012,pp.4-9,21,proc,1,FALSE,"Allason-Jones, L., 2012. She Said ‘Emic’ . Theoretical Roman Archaeology Journal, (2011), pp.4–9. DOI: http://doi.org/10.16995/TRAC2011_4_9",Newcastle University,England,University,,,,retrospective
274,"Leach, S",R. G. Collingwood – An Early Archaeological Theorist?,Theoretical Roman Archaeology Conference Proceedings,2012,pp.10-18,21,proc,1,FALSE,"Leach, S., 2012. R. G. Collingwood – An Early Archaeological Theorist?. Theoretical Roman Archaeology Journal, (2011), pp.10–18. DOI: http://doi.org/10.16995/TRAC2011_10_18",Keele University,England,University,Britain,,,historiography
275,"Rohl, D","Chorography: History, Theory and Potential for Archaeological Research",Theoretical Roman Archaeology Conference Proceedings,2012,pp.19-32,21,proc,1,FALSE,"Rohl, D.J., 2012. Chorography: History, Theory and Potential for Archaeological Research. Theoretical Roman Archaeology Journal, (2011), pp.19–32. DOI: http://doi.org/10.16995/TRAC2011_19_32",Durham University,England,University,,landscape chorography place,,
276,"Mata, K","Anthropological Perspectives on Colonialism, Globalisation and Rural Lifeways: Expanding the Limits of archaeological Interpretation in the Lower Rhineland",Theoretical Roman Archaeology Conference Proceedings,2012,pp.33-47,21,proc,1,FALSE,"Mata, K., 2012. Anthropological Perspectives on Colonialism, Globalisation and Rural Lifeways: Expanding the Limits of archaeological Interpretation in the Lower Rhineland . Theoretical Roman Archaeology Journal, (2011), pp.33–47. DOI: http://doi.org/10.16995/TRAC2011_33_47",University of Chicago,USA,University,Germany,colonialism globalisation rural,,anthropology
277,"van Oyen, A",Knowledge Systems in the Production of Terra Sigilata. Moving Beyond the Local/Global Paradox,Theoretical Roman Archaeology Conference Proceedings,2012,pp.48-59,21,proc,1,FALSE,"Oyen, A. van ., 2012. Knowledge Systems in the Production of Terra Sigilata. Moving Beyond the Local/Global Paradox. Theoretical Roman Archaeology Journal, (2011), pp.48–59. DOI: http://doi.org/10.16995/TRAC2011_48_59",University of Cambridge,England,University,,globalisation,pottery,actor-network-theory
278,"Weber, A",The Devil is in the (Samian) Detail – Potters’ Stamps on Samian Ware and their Implications for the Roman Provincial Economy,Theoretical Roman Archaeology Conference Proceedings,2012,pp.60-75,21,proc,1,FALSE,"Weber, M., 2012. The Devil is in the (Samian) Detail – Potters’ Stamps on Samian Ware and their Implications for the Roman Provincial Economy. Theoretical Roman Archaeology Journal, (2011), pp.60–75. DOI: http://doi.org/10.16995/TRAC2011_60_75",University of Reading,England,University,,economy production consumption,pottery,
279,"Biddulph, E",On Cultural Selection: Examining the Process of Cultural Evolution through Funerary Evidence,Theoretical Roman Archaeology Conference Proceedings,2012,pp.76-90,21,proc,1,FALSE,"Biddulph, E., 2012. On Cultural Selection: Examining the Process of Cultural Evolution through Funerary Evidence. Theoretical Roman Archaeology Journal, (2011), pp.76–90. DOI: http://doi.org/10.16995/TRAC2011_76_90",Oxford Archaeology,England,Commercial archaeological contractor,Britain France Belgium,evolution,burial,
280,"Garland, N",Boundaries and Change: The Examination of the Late Iron Age-Roman Transition,Theoretical Roman Archaeology Conference Proceedings,2012,pp.91-104,21,proc,1,FALSE,"Garland, N., 2012. Boundaries and Change: The Examination of the Late Iron Age-Roman Transition. Theoretical Roman Archaeology Journal, (2011), pp.91–104. DOI: http://doi.org/10.16995/TRAC2011_91_104",University College London,England,University,Britain,landscape boundary,prehistory,
281,"Greene, E",Sulpicia Lepidina and Elizabeth Custer: A Cross-Cultural Analogy for the Social Role of Women on a Military Frontier,Theoretical Roman Archaeology Conference Proceedings,2012,pp.105-114,21,proc,1,FALSE,"Greene, E.M., 2012. Sulpicia Lepidina and Elizabeth Custer: A Cross-Cultural Analogy for the Social Role of Women on a Military Frontier . Theoretical Roman Archaeology Journal, (2011), pp.105–114. DOI: http://doi.org/10.16995/TRAC2011_105_114",The University of Western Ontario,Canada,University,Britain,gender frontier,military,
