ID,authors,title,journal,year_pub,pages,journal_issue,number_authors,collaborative,full_reference,lead_author_institution,people_ackowledged,no_people_acknowledged,institution_country,country_topic,institution_type,theory_topic,subject_topic,method_topic,type
214,"White, N",Catering for the Cultural Identities of the Deceased in Roman Britain: Interpretative Potential and Problems,Theoretical Roman Archaeology Conference Proceedings,2007,115-132,16,1,FALSE,"White, N.C.C., 2007. Catering for the Cultural Identities of the Deceased in Roman Britain: Interpretative Potential and Problems . Theoretical Roman Archaeology Journal, (2006), pp.115–132. DOI: http://doi.org/10.16995/TRAC2006_115_132",University of Cambridge,TRUE,5,England,Britain,University,identity,diet prehistory burial,archaeobotanical,proc
215,"Monsieur, P","Amphora Burials and Burials with Amphorae: On the Reuse of Amphorae in the Northern Necropolis of Potentia (Porto Recanati, Marche)",Theoretical Roman Archaeology Conference Proceedings,2007,133-149,16,1,FALSE,"Monsieur, P., 2007. Amphora Burials and Burials with Amphorae: On the Reuse of Amphorae in the Northern Necropolis of Potentia (Porto Recanati, Marche). Theoretical Roman Archaeology Journal, (2006), pp.133–149. DOI: http://doi.org/10.16995/TRAC2006_133_149",Ghent University,TRUE,5,Belgium,Italy,University,religion death,pottery burial,,proc
216,"Fitzpatrick-Mathews, K",Subculture and Small Group Identity in Iron Age and Roman Baldock,Theoretical Roman Archaeology Conference Proceedings,2007,150-171,16,1,FALSE,"Fitzpatrick-Matthews, K.J., 2007. Subculture and Small Group Identity in Iron Age and Roman Baldock . Theoretical Roman Archaeology Journal, (2006), pp.150–171. DOI: http://doi.org/10.16995/TRAC2006_150_171",North Hertfordshire District Council’s Museums Service,FALSE,0,England,Britain,Local museum,identity ritual,burial prehistory,,proc
217,"Rosten, J",Identities in Life and Death in Roman Britain: The Case of Baldock,Theoretical Roman Archaeology Conference Proceedings,2007,172-182,16,1,FALSE,"Rosten, J., 2007. Identities in Life and Death in Roman Britain: The Case of Baldock. Theoretical Roman Archaeology Journal, (2006), pp.172–182. DOI: http://doi.org/10.16995/TRAC2006_172_182",University of Leicester,TRUE,4,England,Britain,University,identity death,burial artefacts settlement,,proc
218,"Weekes, J","A Specific Problem? The Detection, Protection and Exploration of Romano-British Cremation Cemeteries through Competitive Tendering",Theoretical Roman Archaeology Conference Proceedings,2007,183-191,16,1,FALSE,"Weekes, J., 2007. A Specific Problem? The Detection, Protection and Exploration of Romano-British Cremation Cemeteries through Competitive Tendering. Theoretical Roman Archaeology Journal, (2006), pp.183–191. DOI: http://doi.org/10.16995/TRAC2006_183_191",University of Kent,TRUE,1,England,Britain,University,practice,commercial-archaeology  burial,,proc
219,"Fenwick, C Wiggins, M Wythe, D",Preface,Theoretical Roman Archaeology Conference Proceedings,2008,i-vi,17,3,TRUE,"Fenwick, C., Wiggins, M. and Wythe, D., 2008. Preface and Editors’ Preface. Theoretical Roman Archaeology Journal, (2007), p.i–vi. DOI: http://doi.org/10.16995/TRAC2007_i_vi",University of London,FALSE,0,England,,University,,preface,,proc
220,"Sanjuán, L González, P Gómez, F","The Use of Prehistoric Ritual and Funerary Sites in Roman Spain: Discussing Tradition, Memory and Identity in Roman Society",Theoretical Roman Archaeology Conference Proceedings,2008,1-14,17,3,TRUE,"Sanjuán, L.G., González, P.G. and Gómez, F.L., 2008. The Use of Prehistoric Ritual and Funerary Sites in Roman Spain: Discussing Tradition, Memory and Identity in Roman Society . Theoretical Roman Archaeology Journal, (2007), pp.1–13. DOI: http://doi.org/10.16995/TRAC2007_1_13",University of Sevilla,FALSE,0,Spain,Spain,University,ritual landscape memory,prehistory burial,,proc
221,"Jiménez, A",A Critical Approach to the Concept of Resistance: New ‘Traditional’ Rituals and Objects in Funerary Contexts of Roman Baetica,Theoretical Roman Archaeology Conference Proceedings,2008,15-30,17,1,FALSE,"Jiménez, A., 2008. A Critical Approach to the Concept of Resistance: New ‘Traditional’ Rituals and Objects in Funerary Contexts of Roman Baetica. Theoretical Roman Archaeology Journal, (2007), pp.15–30. DOI: http://doi.org/10.16995/TRAC2007_15_30",Consejo Superior de Investigaciones Científicas (CSIC),TRUE,5,Spain,Spain,Research Centre,ritual resistance post-colonial,burial,,proc
222,"Sterry, M",Searching for identity in Italian Landscapes,Theoretical Roman Archaeology Conference Proceedings,2008,31-44,17,1,FALSE,"Sterry, M., 2008. Searching for identity in Italian Landscapes. Theoretical Roman Archaeology Journal, (2007), pp.31–43. DOI: http://doi.org/10.16995/TRAC2007_31_43",University of Leicester,TRUE,7,England,Italy,University,landscape identity,,survey,proc
223,"Collins, R",Identity in the Frontier: Theory and Multiple Community Interfacing,Theoretical Roman Archaeology Conference Proceedings,2008,45-52,17,1,FALSE,"Collins, R., 2008. Identity in the Frontier: Theory and Multiple Community Interfacing . Theoretical Roman Archaeology Journal, (2007), pp.45–52. DOI: http://doi.org/10.16995/TRAC2007_45_52",Newcastle University,TRUE,4,England,Britain,University,identity frontier community,,epigraphy,proc
224,"Monteiro, L",Ethnicity and Conflict in the Roman Conquest of Spain,Theoretical Roman Archaeology Conference Proceedings,2008,53-62,17,1,FALSE,"Monteiro, L.D., 2008. Ethnicity and Conflict in the Roman Conquest of Spain . Theoretical Roman Archaeology Journal, (2007), pp.53–61. DOI: http://doi.org/10.16995/TRAC2007_53_61",Brown University,TRUE,5,USA,Spain Portugal,University,ethnicity violence,,text,proc
225,"Faulkner, N",Roman Archaeology in an Epoch of Neoliberalism and Imperialist War,Theoretical Roman Archaeology Conference Proceedings,2008,63-74,17,1,FALSE,"Faulkner, N., 2008. Roman Archaeology in an Epoch of Neoliberalism and Imperialist War. Theoretical Roman Archaeology Journal, (2007), pp.63–73. DOI: http://doi.org/10.16995/TRAC2007_63_73",Unknown,TRUE,4,Unknown,,Unknown,imperialism postmodernism marxism,,text,proc
226,"Fenwick, C","Archaeology and the Search for Authenticity: Colonialist, Nationalist, and Berberist Visions of an Algerian Past",Theoretical Roman Archaeology Conference Proceedings,2008,75-88,17,1,FALSE,"Fenwick, C., 2008. Archaeology and the Search for Authenticity: Colonialist, Nationalist, and Berberist Visions of an Algerian Past. Theoretical Roman Archaeology Journal, (2007), pp.75–88. DOI: http://doi.org/10.16995/TRAC2007_75_88",Stanford University,TRUE,3,USA,Algeria,University,nationalism colonialism identity,,ethnography,proc
227,"Aktüre, Z",Typological Studies of Ancient Roman Theatre Architecture in the Context of the Old and New Europe: The Tree vs. the Rhizome Model,Theoretical Roman Archaeology Conference Proceedings,2008,89-108,17,1,FALSE,"Aktüre, Z., 2008. Typological Studies of Ancient Roman Theatre Architecture in the Context of the Old and New Europe: The Tree vs. the Rhizome Model. Theoretical Roman Archaeology Journal, (2007), pp.89–107. DOI: http://doi.org/10.16995/TRAC2007_89_107",Izmir Institute of Technology,FALSE,0,Turkey,Greece,University,identity,architecture,historiography,proc
228,"Trifiló, F","Power, Architecture and Community in the Distribution of Honorary Statues in Roman Public Space",Theoretical Roman Archaeology Conference Proceedings,2008,109-120,17,1,FALSE,"Trifiló, F., 2008. Power, Architecture and Community in the Distribution of Honorary Statues in Roman Public Space. Theoretical Roman Archaeology Journal, (2007), pp.109–120. DOI: http://doi.org/10.16995/TRAC2007_109_120","Birkbeck College, University of London",TRUE,3,England,,University,structuration space,forum sculpture,,proc
229,"Brown, L",Charon’s Obols? A case study in the role of coins in Roman Burial Ritual,Theoretical Roman Archaeology Conference Proceedings,2008,121-130,17,1,FALSE,"Brown, L., 2008. Charon’s Obols? A case study in the role of coins in Roman Burial Ritual. Theoretical Roman Archaeology Journal, (2007), pp.121–130. DOI: http://doi.org/10.16995/TRAC2007_121_130",University of Edinburgh,TRUE,6,Scotland,Britain,University,ritual practice structured-deposition,coins burial,,proc
230,"Clay, C",Developing the ‘Germani’ in Roman Studies,Theoretical Roman Archaeology Conference Proceedings,2008,131-150,17,1,FALSE,"Clay, C.L., 2008. Developing the ‘Germani’ in Roman Studies. Theoretical Roman Archaeology Journal, (2007), pp.131–150. DOI: http://doi.org/10.16995/TRAC2007_131_150",University of Sheffield,TRUE,8,England,Belgium Germany,University,identity,,epigraphy text,proc
231,"Croxford, B",Humour In Roman Archaeology,Theoretical Roman Archaeology Conference Proceedings,2008,151-162,17,1,FALSE,"Croxford, B., 2008. Humour In Roman Archaeology. Theoretical Roman Archaeology Journal, (2007), pp.151–162. DOI: http://doi.org/10.16995/TRAC2007_151_162",University of Cambridge,TRUE,3,England,,University,humour,artefacts burial,,proc
232,"Driessen, M Heeren, S Hendriks, J Kemmers, F Visser, R",Preface,Theoretical Roman Archaeology Conference Proceedings,2009,i-vi,18,5,TRUE,"Driessen, M., Heeren, S., Hendriks, J., Kemmers, F. and Visser, R., 2009. Preface and Editors’ Preface. Theoretical Roman Archaeology Journal, (2008), p.i–vi. DOI: http://doi.org/10.16995/TRAC2008_i_vi",University of Amsterdam,FALSE,0,Netherlands,,University,,preface,,proc
233,"Friedman, H","Forced Labour, Mines, and Space: Exploring the Control of Mining Communities",Theoretical Roman Archaeology Conference Proceedings,2009,1-12,18,1,FALSE,"Friedman, H., 2009. Forced Labour, Mines, and Space: Exploring the Control of Mining Communities. Theoretical Roman Archaeology Journal, (2008), pp.1–11. DOI: http://doi.org/10.16995/TRAC2007_1_11",University of Leicester,FALSE,0,England,Jordan,University,space labour landscape,mining slavery,gis text,proc
234,"Courbot-Dewerdt, C",Feeling Like Home: Romanised Rural Landscape from a Gallo-Roman Point of View,Theoretical Roman Archaeology Conference Proceedings,2009,13-24,18,1,FALSE,"Courbot-Dewerdt, C., 2009. Feeling Like Home: Romanised Rural Landscape from a Gallo-Roman Point of View . Theoretical Roman Archaeology Journal, (2008), pp.13–24. DOI: http://doi.org/10.16995/TRAC2008_13_24",Université de Lille,FALSE,0,France,France,University,space rural place,prehistory villa architecture,,proc
235,"Newsome, D",Centrality in its Place: Defining Urban Space in the City of Rome,Theoretical Roman Archaeology Conference Proceedings,2009,25-28,18,1,FALSE,"Newsome, D.J., 2009. Centrality in its Place: Defining Urban Space in the City of Rome. Theoretical Roman Archaeology Journal, (2008), pp.25–38. DOI: http://doi.org/10.16995/TRAC2008_25_38",University of Birmingham,TRUE,8,England,Italy,University,urbanism space centrality movement,Rome,urban-planning,proc
236,"Malmberg, S",Finding Your Way in the Subura,Theoretical Roman Archaeology Conference Proceedings,2009,39-52,18,1,FALSE,"Malmberg, S., 2009. Finding Your Way in the Subura. Theoretical Roman Archaeology Journal, (2008), pp.39–51. DOI: http://doi.org/10.16995/TRAC2008_39_51","Swedish Institute of Classical Studies, Rome",TRUE,4,Italy,Italy,Research Centre,urbanism space movement,Subura,text,proc
237,"Brindle, T",Amateur Metal Detector Finds and Romano-British Settlement: A Methodological Case Study from Wiltshire,Theoretical Roman Archaeology Conference Proceedings,2009,53-72,18,1,FALSE,"Brindle, T., 2009. Amateur Metal Detector Finds and Romano-British Settlement: A Methodological Case Study from Wiltshire. Theoretical Roman Archaeology Journal, (2008), pp.53–72. DOI: http://doi.org/10.16995/TRAC2008_53_72","King's College, London",TRUE,3,England,Britain,University,,PAS artefacts,gis,proc
238,"Cummings, C",Meat Consumption in Roman Britain: The Evidence from Stable Isotopes,Theoretical Roman Archaeology Conference Proceedings,2009,73-84,18,1,FALSE,"Cummings, C., 2009. Meat Consumption in Roman Britain: The Evidence from Stable Isotopes. Theoretical Roman Archaeology Journal, (2008), pp.73–83. DOI: http://doi.org/10.16995/TRAC2008_73_83",University of Oxford,TRUE,2,England,Britain,University,practice,diet,zooarchaeology isotopes,proc
239,"Vossen, I Groot, M",Barley and Horses: Surplus and Demand in the Civitas Batavorum,Theoretical Roman Archaeology Conference Proceedings,2009,85-100,18,2,TRUE,"Vossen, I. and Groot, M., 2009. Barley and Horses: Surplus and Demand in the Civitas Batavorum. Theoretical Roman Archaeology Journal, (2008), pp.85–100. DOI: http://doi.org/10.16995/TRAC2008_85_100",University of Amsterdam,TRUE,3,Netherlands,France,University,economy rural landscape,diet,zooarchaeology archaeobotanical,proc
240,"Stallibrass, S",The Way to a Roman Soldier’s Heart: A Post-Medieval Model for Cattle Droving to the Hadrian’s Wall Area,Theoretical Roman Archaeology Conference Proceedings,2009,101-112,18,1,FALSE,"Stallibrass, S., 2009. The Way to a Roman Soldier’s Heart: A Post-Medieval Model for Cattle Droving to the Hadrian’s Wall Area . Theoretical Roman Archaeology Journal, (2008), pp.101–112. DOI: http://doi.org/10.16995/TRAC2008_101_112",University of Liverpool,TRUE,7,England,Britain,University,frontier production,diet military,zooarchaeology,proc
241,"Crowley, L",Creating a Community: The Symbolic Role of Tumuli in the Villa Landscape of the Civitas Tungrorum,Theoretical Roman Archaeology Conference Proceedings,2009,113-126,18,1,FALSE,"Crowley, L., 2009. Creating a Community: The Symbolic Role of Tumuli in the Villa Landscape of the Civitas Tungrorum. Theoretical Roman Archaeology Journal, (2008), pp.113–126. DOI: http://doi.org/10.16995/TRAC2008_113_126",University of Amsterdam,TRUE,3,Netherlands,Belgium,University,identity landscape,monument burial villa,,proc
242,"Richardson, A",“Montani Atque Agrestes” or Women of Substance? Dichotomies of Gender and Role in Ancient Samnium,Theoretical Roman Archaeology Conference Proceedings,2009,127-142,18,1,FALSE,"Richardson, A., 2009. “Montani Atque Agrestes” or Women of Substance? Dichotomies of Gender and Role in Ancient Samnium . Theoretical Roman Archaeology Journal, (2008), pp.127–141. DOI: http://doi.org/10.16995/TRAC2008_127_141",University of Reading,TRUE,2,England,Italy,University,gender society,artefacts burial,text,proc
243,"Stoffels, E",Native Service: ‘Batavian’ Pottery in ‘Roman’ Military Context,Theoretical Roman Archaeology Conference Proceedings,2009,143-156,18,1,FALSE,"Stoffels, E., 2009. Native Service: ‘Batavian’ Pottery in ‘Roman’ Military Context . Theoretical Roman Archaeology Journal, (2008), pp.143–155. DOI: http://doi.org/10.16995/TRAC2008_143_155",University of Amsterdam,TRUE,9,Netherlands,Netherlands,University,society,pottery military,,proc
244,"Wanner, R",The Natural Will: Community in Roman Archaeology,Theoretical Roman Archaeology Conference Proceedings,2009,157-172,18,1,FALSE,"Wanner, R., 2009. The Natural Will: Community in Roman Archaeology . Theoretical Roman Archaeology Journal, (2008), pp.157–172. DOI: http://doi.org/10.16995/TRAC2008_157_172",University of Leicester,TRUE,3,England,Tunisia,University,community society,,survey,proc
245,"Flohr, M",The Social World of Roman Fullonicae,Theoretical Roman Archaeology Conference Proceedings,2009,173-186,18,1,FALSE,"Flohr, M., 2009. The Social World of Roman Fullonicae. Theoretical Roman Archaeology Journal, (2008), pp.173–185. DOI: http://doi.org/10.16995/TRAC2008_173_185",Leiden University,FALSE,0,Netherlands,Italy,University,labour urbanism society,architecture,,proc
246,"Martin Goldberg, D",The Dichotomy in Romano-Celtic Syncretism: Some Preliminary Thoughts on Vernacular Religion,Theoretical Roman Archaeology Conference Proceedings,2009,187-202,18,1,FALSE,"Goldberg, D.M., 2009. The Dichotomy in Romano-Celtic Syncretism: Some Preliminary Thoughts on Vernacular Religion . Theoretical Roman Archaeology Journal, (2008), pp.187–202. DOI: http://doi.org/10.16995/TRAC2008_187_202",National Museums Scotland,FALSE,0,Scotland,,National museum,religion ritual syncretism,,,proc
247,"Moore, A Taylor, G Harris, E Girdwood, P Shipley, L",Preface,Theoretical Roman Archaeology Conference Proceedings,2010,i-viii,19,5,TRUE,"Moore, A., Taylor, G., Harris, E., Girdwood, P. and Shipley, L., 2010. Preface and Editors’ Preface. Theoretical Roman Archaeology Journal, (2009), p.i–viii. DOI: http://doi.org/10.16995/TRAC2009_i_viii",University of Southampton,FALSE,0,England,,University,,preface,,proc
248,"Revell, L",Romanization: A Feminist Critique,Theoretical Roman Archaeology Conference Proceedings,2010,1-10,19,1,FALSE,"Revell, L., 2010. Romanization: A Feminist Critique. Theoretical Roman Archaeology Journal, (2009), pp.1–10. DOI: http://doi.org/10.16995/TRAC2009_1_10",University of Southampton,FALSE,0,England,,University,Romanization gender feminism identity,,,proc
249,"Visser, R",Growing and Felling? Theory and Evidence Related to the Application of Silvicultural Systems in the Roman Period,Theoretical Roman Archaeology Conference Proceedings,2010,11-22,19,1,FALSE,"Visser, R.M., 2010. Growing and Felling? Theory and Evidence Related to the Application of Silvicultural Systems in the Roman Period. Theoretical Roman Archaeology Journal, (2009), pp.11–22. DOI: http://doi.org/10.16995/TRAC2009_11_22",University of Amsterdam,TRUE,4,Netherlands,Germany,University,production,forestry,,proc
250,"Sekedat, B",No Place Like Stone? Assessing Social and Material Networks of Place at Quarries in Roman Anatolia,Theoretical Roman Archaeology Conference Proceedings,2010,23-30,19,1,FALSE,"Sekedat, B.M., 2010. No Place Like Stone? Assessing Social and Material Networks of Place at Quarries in Roman Anatolia. Theoretical Roman Archaeology Journal, (2009), pp.23–30. DOI: http://doi.org/10.16995/TRAC2009_23_30",Brown University,FALSE,0,USA,Turkey,University,place society,quarrying stone,,proc
251,"Beale, G Earl, G","The Herculaneum Amazon: Sculptural Polyschromy, Digital Simulation and Context",Theoretical Roman Archaeology Conference Proceedings,2010,31-40,19,2,TRUE,"Beale, G. and Earle, G., 2010. The Herculaneum Amazon: Sculptural Polyschromy, Digital Simulation and Context. Theoretical Roman Archaeology Journal, (2009), pp.31–40. DOI: http://doi.org/10.16995/TRAC2009_31_40",University of Southampton,TRUE,4,England,Italy,University,experience,sculpture,digital,proc
252,"Lepot, A",GIS and Artefact Deposition: A Case Study on Regional Cooking Wares in Northern Gaul,Theoretical Roman Archaeology Conference Proceedings,2010,41-52,19,1,FALSE,"Lepot, A., 2010. GIS and Artefact Deposition: A Case Study on Regional Cooking Wares in Northern Gaul . Theoretical Roman Archaeology Journal, (2009), pp.41–52. DOI: http://doi.org/10.16995/TRAC2009_41_52",Université Catholique de Louvain,TRUE,2,France,France,University,consumption,pottery,gis,proc
253,"van der Graaff, I Poppen, R Nales, T",The Advantages and Limitations of Coring Survey: An Initial Assessment of the Poggio Colla Coring Project,Theoretical Roman Archaeology Conference Proceedings,2010,53-65,19,3,TRUE,"Graaff, I. van . der ., Poppen, R.V. and Nales, T., 2010. The Advantages and Limitations of Coring Survey: An Initial Assessment of the Poggio Colla Coring Project . Theoretical Roman Archaeology Journal, (2009), pp.53–65. DOI: http://doi.org/10.16995/TRAC2009_53_65",University of Texas at Austin,TRUE,8,USA,Italy,University,landscape,settlement,survey geoarchaeology GIS,proc
254,"Feldman Weiss, C",Performativity of Place: Movement and Water in Second Century AD Ephesus,Theoretical Roman Archaeology Conference Proceedings,2010,66-74,19,1,FALSE,"Weiss, C.F., 2010. Performativity of Place: Movement and Water in Second Century AD Ephesus. Theoretical Roman Archaeology Journal, (2009), pp.66–74. DOI: http://doi.org/10.16995/TRAC2009_66_74",Brown University,FALSE,0,USA,Turkey,University,space place landscape performance urbanism movement,water,urban-planning,proc
255,"Wood, S",Horti in the City of Rome: Emulation and Transcendence in the Late Republic and Early Empire,Theoretical Roman Archaeology Conference Proceedings,2010,75-90,19,1,FALSE,"Wood, S., 2010. Horti in the City of Rome: Emulation and Transcendence in the Late Republic and Early Empire. Theoretical Roman Archaeology Journal, (2009), pp.75–90. DOI: http://doi.org/10.16995/TRAC2009_75_90",University of Birmingham,FALSE,0,England,Italy,University,urbanism,gardens,,proc
256,"Bonnie, R",Did Cadastres Exist in the Roman Northwest?,Theoretical Roman Archaeology Conference Proceedings,2010,91-104,19,1,FALSE,"Bonnie, R., 2010. Did Cadastres Exist in the Roman Northwest?. Theoretical Roman Archaeology Journal, (2009), pp.91–104. DOI: http://doi.org/10.16995/TRAC2009_91_104",Katholieke Universiteit Leuven,FALSE,0,Belgium,,University,rural,centuriation agriculture,,proc
257,"Moore, A",Age and Identity in Funerary Contexts: The Elderly in Southern Roman Britain,Theoretical Roman Archaeology Conference Proceedings,2010,105-119,19,1,FALSE,"Moore, A., 2010. Age and Identity in Funerary Contexts: The Elderly in Southern Roman Britain. Theoretical Roman Archaeology Journal, (2009), pp.105–119. DOI: http://doi.org/10.16995/TRAC2009_105_119",University of Southampton,TRUE,4,England,Britain,University,identity gender,burial age,,proc
258,"Scopacasa, R","Beyond the Warlike Samnites: Rethinking Grave Goods, Gender Relations and Social Practice in Ancient Samnium (Italy)",Theoretical Roman Archaeology Conference Proceedings,2010,120-131,19,1,FALSE,"Scopacasa, R., 2010. Beyond the Warlike Samnites: Rethinking Grave Goods, Gender Relations and Social Practice in Ancient Samnium (Italy). Theoretical Roman Archaeology Journal, (2009), pp.120–131. DOI: http://doi.org/10.16995/TRAC2009_120_131",University of Exeter,TRUE,5,England,Italy,University,gender community practice,burial artefacts,,proc
259,"Fitzpatrick-Mathews, K","Collapse, Change or Continuity? Exploring the Three C’s in Sub-Roman Britain",Theoretical Roman Archaeology Conference Proceedings,2010,132-148,19,1,FALSE,"Fitzpatrick-Matthews, K.J., 2010. Collapse, Change or Continuity? Exploring the Three C’s in Sub-Roman Britain . Theoretical Roman Archaeology Journal, (2009), pp.132–148. DOI: http://doi.org/10.16995/TRAC2009_132_148",North Hertfordshire District Council’s Museums Service,TRUE,1,England,Britain,Local museum,decline urbanism,post-Roman burial,,proc
260,"Mladenovi?, D Russell, B",Preface,Theoretical Roman Archaeology Conference Proceedings,2011,i-vi,20,2,TRUE,"Mladenovi?, D. and Russell, B., 2011. Preface and Editors’ Preface. Theoretical Roman Archaeology Journal, (2010), p.i–vi. DOI: http://doi.org/10.16995/TRAC2010_i_vi",University of Oxford,FALSE,0,England,,University,,preface,,proc
261,"Mills, P Rajala, U",Interpreting a Ceramiscene Landscape – The Roman Pottery from the Nepi Survey Project,Theoretical Roman Archaeology Conference Proceedings,2011,1-17,20,2,TRUE,"Mills, P. and Rajala, U., 2011. Interpreting a Ceramiscene Landscape – The Roman Pottery from the Nepi Survey Project. Theoretical Roman Archaeology Journal, (2010), pp.1–17. DOI: http://doi.org/10.16995/TRAC2010_1_17",University of Leicester,TRUE,1,England,Italy,University,landscape,pottery,survey,proc
262,"Boos, M",In Excelsissimo Loco – An Approach to Poliadic Deities in Roman Colonies,Theoretical Roman Archaeology Conference Proceedings,2011,18-31,20,1,FALSE,"Boos, M., 2011. In Excelsissimo Loco – An Approach to Poliadic Deities in Roman Colonies. Theoretical Roman Archaeology Journal, (2010), pp.18–31. DOI: http://doi.org/10.16995/TRAC2010_18_31",Technische Universität Darmstadt,TRUE,3,Germany,Italy,University,urbanism religion ritual,architecture,,proc
263,"Ratliff, M","Globalisation, Consumerism and the Ancient Roman Economy: A Preliminary Look at Bronze and Iron Production and Consumption",Theoretical Roman Archaeology Conference Proceedings,2011,32-46,20,1,FALSE,"Ratliff, M.L., 2011. Globalisation, Consumerism and the Ancient Roman Economy: A Preliminary Look at Bronze and Iron Production and Consumption. Theoretical Roman Archaeology Journal, (2010), pp.32–46. DOI: http://doi.org/10.16995/TRAC2010_32_46",University of Groningen,TRUE,4,Netherlands,Italy,University,economy globalisation,metalwork,,proc
264,"Ynnilä, H",Meaningful Insula: Bridging the Gap between Large and Small Scale Studies of Urban Living Conditions,Theoretical Roman Archaeology Conference Proceedings,2011,47-58,20,1,FALSE,"Ynnilä, H. 2011. Meaningful Insula: Bridging the Gap between Large and Small Scale Studies of Urban Living Conditions. Theoretical Roman Archaeology Journal, (2010), pp.47–58. DOI: http://doi.org/10.16995/TRAC2010_47_58",University of Oxford,TRUE,1,England,Italy,University,urbanism,architecture houses,,proc
265,"Lauritson, M",Doors in Domestic Space at Pompeii and Herculaneum: A Preliminary Study,Theoretical Roman Archaeology Conference Proceedings,2011,59-75,20,1,FALSE,"Lauritsen, M.T., 2011. Doors in Domestic Space at Pompeii and Herculaneum: A Preliminary Study . Theoretical Roman Archaeology Journal, (2010), pp.59–75. DOI: http://doi.org/10.16995/TRAC2010_59_75",University of Edinburgh,TRUE,1,Scotland,Italy,University,urbanism space,architecture,agent-based-modelling,proc
266,"Munro, B",Approaching Architectural Recycling in Roman and Late Roman Villas,Theoretical Roman Archaeology Conference Proceedings,2011,76-88,20,1,FALSE,"Munro, B., 2011. Approaching Architectural Recycling in Roman and Late Roman Villas. Theoretical Roman Archaeology Journal, (2010), pp.76–88. DOI: http://doi.org/10.16995/TRAC2010_76_88",University of Manitoba,FALSE,0,Canada,Italy France,University,recycling,villa architecture,,proc
267,"Barker, S",Nineteenth-Century Labour Figures for Demolition: A Theoretical Approach to Understanding the Economics of Re-use,Theoretical Roman Archaeology Conference Proceedings,2011,89-101,20,1,FALSE,"Barker, S.J., 2011. Nineteenth-Century Labour Figures for Demolition: A Theoretical Approach to Understanding the Economics of Re-use. Theoretical Roman Archaeology Journal, (2010), pp.89–101. DOI: http://doi.org/10.16995/TRAC2010_89_101",University of Oxford,TRUE,6,England,,University,recycling economy labour,architecture,,proc
268,"Grömer, K Hölbling-Steigberger, E",Cloth and Clothing from Cemeteries in Noricum,Theoretical Roman Archaeology Conference Proceedings,2011,102-114,20,2,TRUE,"Grömer, K. and Hölbling-Steigberger, E., 2011. Cloth and Clothing from Cemeteries in Noricum. Theoretical Roman Archaeology Journal, (2010), pp.102–114. DOI: http://doi.org/10.16995/TRAC2010_102_114",Natural History Museum Vienna,TRUE,5,Austria,Austria,National museum,identity,burial textiles brooches,,proc
269,"Pudney, C",Pinning Down Identities: The Negotiation of Personhood and the Materialisation of Identity in the Late Iron Age and Early Roman Severn Estuary,Theoretical Roman Archaeology Conference Proceedings,2011,115-131,20,1,FALSE,"Pudney, C., 2011. Pinning Down Identities: The Negotiation of Personhood and the Materialisation of Identity in the Late Iron Age and Early Roman Severn Estuary. Theoretical Roman Archaeology Journal, (2010), pp.115–131. DOI: http://doi.org/10.16995/TRAC2010_115_131",Cardiff University,TRUE,5,Wales,Britain,University,identity ritual personhood,burial brooches,,proc
270,"Ivleva, T",British Emigrants in the Roman Empire: Complexities and Symbols of Ethnic Identities,Theoretical Roman Archaeology Conference Proceedings,2011,132-153,20,1,FALSE,"Ivleva, T., 2011. British Emigrants in the Roman Empire: Complexities and Symbols of Ethnic Identities. Theoretical Roman Archaeology Journal, (2010), pp.132–153. DOI: http://doi.org/10.16995/TRAC2010_132_153",Leiden University,TRUE,15,Amsterdam,,University,identity ethnicity migration,brooches,epigraphy,proc
271,"Duggan, M McIntosh, F Rohl, D",Preface,Theoretical Roman Archaeology Conference Proceedings,2012,i-vii,21,3,TRUE,"Duggan, M., McIntosh, F. and Rohl, D.J., 2012. Preface and Editors’ Preface. Theoretical Roman Archaeology Journal, (2011), p.i–vii. DOI: http://doi.org/10.16995/TRAC2011_i_vii",Newcastle University,FALSE,0,England,,University,,preface,,proc
272,"Scott, E",Introduction: The Theoretical Roman Archaeology Conference Turns 21,Theoretical Roman Archaeology Conference Proceedings,2012,1-3,21,1,FALSE,"Scott, E., 2012. Introduction: The Theoretical Roman Archaeology Conference Turns 21. Theoretical Roman Archaeology Journal, (2011), pp.1–3. DOI: http://doi.org/10.16995/TRAC2011_1_3",Unknown,TRUE,8,Unknown,,Unknown,,,retrospective,proc
273,"Allason-Jones, L",She Said ‘Emic’,Theoretical Roman Archaeology Conference Proceedings,2012,4-9,21,1,FALSE,"Allason-Jones, L., 2012. She Said ‘Emic’ . Theoretical Roman Archaeology Journal, (2011), pp.4–9. DOI: http://doi.org/10.16995/TRAC2011_4_9",Newcastle University,FALSE,0,England,,University,,,retrospective,proc
274,"Leach, S",R. G. Collingwood – An Early Archaeological Theorist?,Theoretical Roman Archaeology Conference Proceedings,2012,10-18,21,1,FALSE,"Leach, S., 2012. R. G. Collingwood – An Early Archaeological Theorist?. Theoretical Roman Archaeology Journal, (2011), pp.10–18. DOI: http://doi.org/10.16995/TRAC2011_10_18",Keele University,FALSE,0,England,Britain,University,,,historiography,proc
